elapsed_s,x_unit,y_unit,radius_unit,radial_error_unit
4.094,423.890625,380.15625,147.55985692915647,-2.4401430708435328
4.094,424.375,378.421875,147.0344554977357,-2.9655445022642937
4.094,424.703125,376.953125,146.53550024492785,-3.464499755072154
4.094,425.203125,375.46875,146.18944810186585,-3.8105518981341504
4.203,425.828125,373.890625,145.9196405694115,-4.080359430588487
4.203,427.046875,371.703125,145.88436030648128,-4.115639693518716
4.203,427.96875,370.15625,145.9380018727987,-4.061998127201292
4.203,428.890625,368.78125,146.094673292537,-3.90532670746299
4.203,429.984375,367.296875,146.37215284645592,-3.6278471535440815
4.219,431.0625,365.90625,146.7004181838365,-3.29958181616351
4.328,432.109375,364.546875,147.03464229614818,-2.965357703851822
4.328,433.828125,362.234375,147.59093628219944,-2.4090637178005636
4.328,435.046875,360.75,148.08180491628815,-1.9181950837118507
4.328,436.1875,359.265625,148.52423863763997,-1.475761362360032
4.406,437.28125,357.671875,148.90327990873178,-1.0967200912682245
4.406,438.203125,356.0,149.11775132346125,-0.8822486765387509
4.406,439.015625,354.359375,149.26582209109776,-0.7341779089022396
4.406,439.734375,351.859375,149.04727549348647,-0.9527245065135332
4.422,440.15625,350.15625,148.86041726437892,-1.139582735621076
4.484,440.5625,348.5625,148.71493809466486,-1.2850619053351409
4.484,441.0,346.96875,148.61717086717303,-1.38282913282697
4.5,441.53125,344.59375,148.3903543550759,-1.6096456449240861
4.516,441.640625,342.921875,148.00119595431062,-1.9988040456893827
4.609,441.703125,341.25,147.58502002156462,-2.414979978435383
4.609,441.71875,339.546875,147.13313503024438,-2.8668649697556248
4.609,441.859375,336.90625,146.58155942837124,-3.4184405716287642
4.609,442.09375,335.109375,146.3670113172812,-3.6329886827188034
4.625,442.375,333.1875,146.19182870889193,-3.808171291108067
4.703,442.609375,331.515625,146.05022580273967,-3.949774197260325
4.703,442.84375,329.84375,145.92801762555743,-4.07198237444257
4.703,443.078125,328.046875,145.80115586229505,-4.198844137704953
4.703,443.234375,326.375,145.64246223763394,-4.357537762366064
4.734,443.5625,324.734375,145.6776603082663,-4.322339691733703
4.797,443.84375,323.015625,145.67341352560913,-4.326586474390865
4.797,444.109375,321.4375,145.69515561315217,-4.304844386847833
4.797,444.34375,320.0,145.72274415499626,-4.277255845003737
4.812,444.625,317.859375,145.7235324180368,-4.276467581963203
4.844,444.71875,316.421875,145.64750111168445,-4.3524988883155515
4.906,444.84375,315.03125,145.62160001395742,-4.378399986042581
4.906,445.03125,313.609375,145.66838560392273,-4.331614396077271
4.906,445.21875,312.140625,145.72535855832754,-4.274641441672458
4.922,445.375,310.71875,145.7696203828579,-4.230379617142091
4.937,445.484375,309.34375,145.78411790453418,-4.215882095465815
5.0,445.53125,307.765625,145.7382916676435,-4.2617083323565055
5.0,445.6875,306.03125,145.81228903220915,-4.187710967790849
5.016,445.796875,304.40625,145.8634422973355,-4.136557702664504
5.031,446.015625,302.671875,146.04006868033255,-3.9599313196674473
5.109,446.109375,300.125,146.1094284702073,-3.890571529792709
5.109,446.078125,296.65625,146.1163894557285,-3.883610544271505
5.125,446.03125,295.09375,146.1136450357221,-3.886354964277899
5.141,445.765625,293.046875,145.93136530200164,-4.0686346979983625
5.203,445.609375,291.453125,145.85999849223998,-4.140001507760019
5.203,445.578125,290.703125,145.8746803365178,-4.125319663482202
5.203,445.609375,289.390625,145.99537296017724,-4.004627039822765
5.219,445.609375,287.46875,146.1476045457233,-3.8523954542766887
5.25,445.640625,286.625,146.25348637003708,-3.7465136299629194
5.312,445.734375,284.171875,146.59139673819965,-3.4086032618003514
5.312,445.765625,282.1875,146.84993220254012,-3.150067797459883
5.328,445.5,280.484375,146.80296188817385,-3.1970381118261457
5.328,445.390625,279.5625,146.82004374110718,-3.1799562588928154
5.359,444.71875,276.484375,146.6168517623507,-3.3831482376492943
5.406,444.21875,275.0625,146.35889709140508,-3.6411029085949167
5.406,443.828125,273.59375,146.2320743888909,-3.767925611109092
5.422,443.515625,272.0,146.2215258405568,-3.778474159443192
5.437,443.21875,269.765625,146.37529772199653,-3.6247022780034683
5.531,443.1875,268.078125,146.70264571494826,-3.297354285051739
5.531,443.265625,266.421875,147.1479860044175,-2.852013995582496
5.531,443.421875,264.734375,147.693935336412,-2.306064663587989
5.531,443.5,263.109375,148.16601571511134,-1.8339842848886576
5.641,443.53125,262.234375,148.4165157864957,-1.5834842135043061
5.641,443.484375,259.84375,148.99761838097658,-1.0023816190234243
5.641,443.515625,257.4375,149.69402468165063,-0.3059753183493683
5.641,443.375,255.875,150.01135373697554,0.011353736975536322
5.641,443.328125,254.21875,150.46220212258666,0.4622021225866604
5.734,443.1875,252.578125,150.83598504589554,0.8359850458955407
5.75,442.875,250.953125,151.05913270062695,1.0591327006269466
